Dep,TOF,Nr,DV,T_viol,a2,a4,a6,G2,G3,Range
8000,700,1,28.7621,549.609,-0.000687,-0.174574,-0.079779,-0.002231,3.447946,0.742776
8000,700,2,31.2576,942.6804,3.1e-05,-0.097116,-0.046371,0.001274,0.280895,0.415098
8000,800,1,32.8001,499.5909,0.002549,-0.17859,-0.084801,0.002261,0.278037,0.368094
8000,800,2,29.3689,933.8221,0.000141,-0.096354,-0.046577,-0.001261,3.411185,0.681888
8000,900,1,32.4683,411.7981,0.005332,-0.177796,-0.089985,-0.00222,3.378941,0.574627
8000,900,2,1782.0596,33678.0291,-0.202881,0.703203,0.630863,0.00048,4.149369,0.251411
8000,1000,1,34.3717,255.0801,0.007056,-0.167905,-0.0943,-0.002154,3.320718,0.766084
8000,1000,2,33.6785,825.3776,0.001742,-0.096482,-0.051361,0.001111,0.360521,0.554899
8000,1100,1,35.0634,0.0946,0.005348,-0.13558,-0.084826,-0.001845,3.374399,0.599378
8000,1100,2,35.6394,491.6661,0.001248,-0.084401,-0.050409,0.00101,0.248092,0.678417
8000,1200,1,41.7849,0.0586,-0.080684,0.047267,-0.060709,-0.001765,2.934875,0.763608
8000,1200,2,28.552,218.0499,0.000388,-0.103726,-0.048619,0.001212,0.236098,0.765124
8000,1300,1,43.4926,0.0497,-0.056075,-0.002906,-0.01991,-0.001487,2.951733,0.390016
8000,1300,2,28.7869,221.9599,0.000623,-0.103138,-0.045667,-0.001182,3.414756,0.767945
8100,700,1,30.0951,506.1481,0.000723,-0.178931,-0.084523,-0.002234,3.552235,0.649095
8100,700,2,29.6068,926.0672,0.000114,-0.097722,-0.04739,-0.001247,3.530391,0.68135
8100,800,1,32.6017,409.4637,0.004513,-0.180735,-0.091827,-0.002222,3.508256,0.576603
8100,800,2,30.7202,886.2021,0.000383,-0.097279,-0.048464,-0.001242,3.515231,0.658908
8100,900,1,34.7471,246.7528,0.006884,-0.172086,-0.097437,-0.002161,3.453548,0.646914
8100,900,2,33.1328,778.5217,0.000864,-0.095658,-0.050659,-0.001196,3.479831,0.608895
8100,1000,1,34.8386,0.0052,0.004718,-0.138288,-0.086028,0.001873,0.354146,0.644426
8100,1000,2,35.8075,483.2599,0.001215,-0.085371,-0.051303,0.001016,0.373967,0.640604
8100,1100,1,44.907,0.0913,-0.094218,0.082734,-0.01591,0.001486,6.060087,0.76794
8100,1100,2,28.8553,225.0328,0.000505,-0.105793,-0.050296,-0.001201,3.52383,0.764423
8100,1200,1,46.8933,0.4286,-0.066731,0.024513,0.018362,-0.001147,2.92316,0.535103
