TDRS Orbit Determination

341 measurements read from tracking data file

Iteration 1

    Date         UTC        Sta   TDRS    obs [km]   comp [km]     o-c [m]
 1999/09/01  00:22: 1.000   162     5   79010.2586  79010.2412     17.37
 1999/09/01  00:22:31.000   162     5   78980.4438  78980.4239     19.94
 1999/09/01  00:23: 1.000   162     5   78954.4798  78954.4571     22.67
 1999/09/01  00:23:31.000   162     5   78932.3844  78932.3596     24.76
 1999/09/01  00:24: 1.000   162     5   78914.1732  78914.1456     27.63
 1999/09/01  00:24:31.000   162     5   78899.8554  78899.8247     30.72
 1999/09/01  00:25: 1.000   162     5   78889.4362  78889.4023     33.87
 1999/09/01  00:25:31.000   162     5   78882.9168  78882.8795     37.33
 1999/09/01  00:26: 1.000   162     5   78880.2936  78880.2526     40.97
 1999/09/01  00:26:31.000   162     5   78881.5586  78881.5140     44.63
 1999/09/01  00:27: 1.000   162     5   78886.6999  78886.6513     48.59
 1999/09/01  00:27:31.000   162     5   78895.7004  78895.6481     52.27
 1999/09/01  00:28: 1.000   162     5   78908.5399  78908.4836     56.26
 1999/09/01  00:28:31.000   162     5   78925.1932  78925.1329     60.34
 1999/09/01  00:29: 1.000   162     5   78945.6304  78945.5666     63.76
 1999/09/01  00:29:31.000   162     5   78969.8199  78969.7518     68.12
 1999/09/01  00:30: 1.000   162     5   78997.7247  78997.6511     73.64
 1999/09/01  00:30:31.000   162     5   79029.3031  79029.2234     79.71
 1999/09/01  02:40: 1.000   161     4   78681.9981  78682.6130   -614.88
 1999/09/01  02:40:31.000   161     4   78628.7893  78629.3509   -561.58
 1999/09/01  02:41: 1.000   161     4   78580.0788  78580.5850   -506.25
 1999/09/01  02:41:31.000   161     4   78535.9086  78536.3608   -452.22
 1999/09/01  02:42: 1.000   161     4   78496.3209  78496.7178   -396.91
 1999/09/01  02:42:31.000   161     4   78461.3516  78461.6900   -338.40
 1999/09/01  02:43: 1.000   161     4   78431.0270  78431.3054   -278.40
 1999/09/01  02:43:31.000   161     4   78405.3617  78405.5862   -224.51
 1999/09/01  02:44: 1.000   161     4   78384.3815  78384.5487   -167.22
 1999/09/01  02:44:31.000   161     4   78368.0953  78368.2033   -107.98
 1999/09/01  02:45: 1.000   161     4   78356.5069  78356.5543    -47.42
 1999/09/01  02:45:31.000   161     4   78349.6149  78349.6003     14.56
 1999/09/01  02:46: 1.000   161     4   78347.4102  78347.3339     76.26
 1999/09/01  02:46:31.000   161     4   78349.8820  78349.7419    140.13
 1999/09/01  02:47: 1.000   161     4   78357.0110  78356.8050    205.96
 1999/09/01  02:47:31.000   161     4   78368.7652  78368.4986    266.57
 1999/09/01  02:48: 1.000   161     4   78385.1170  78384.7921    324.86
 1999/09/01  02:48:31.000   161     4   78406.0352  78405.6495    385.69
 1999/09/01  02:49: 1.000   161     4   78431.4768  78431.0292    447.60
 1999/09/01  02:49:31.000   161     4   78461.3935  78460.8843    509.18
 1999/09/01  02:50: 1.000   161     4   78495.7337  78495.1628    570.94
 1999/09/01  02:50:31.000   161     4   78534.4401  78533.8073    632.76
 1999/09/01  02:51: 1.000   161     4   78577.4498  78576.7559    693.85
 1999/09/01  03:56: 1.000   162     5   77781.1765  77781.8790   -702.50
 1999/09/01  03:56:31.000   162     5   77729.3331  77729.9407   -607.62
 1999/09/01  03:57: 1.000   162     5   77682.8479  77683.3621   -514.20
 1999/09/01  03:57:31.000   162     5   77641.8067  77642.2241   -417.38
 1999/09/01  03:58: 1.000   162     5   77606.2840  77606.6005   -316.50
 1999/09/01  03:58:31.000   162     5   77576.3428  77576.5579   -215.10
 1999/09/01  03:59: 1.000   162     5   77552.0388  77552.1553   -116.53
 1999/09/01  03:59:31.000   162     5   77533.4317  77533.4441    -12.41
 1999/09/01  04:00: 1.000   162     5   77520.5629  77520.4677     95.19
 1999/09/01  04:00:31.000   162     5   77513.4566  77513.2616    195.01
 1999/09/01  04:01: 1.000   162     5   77512.1553  77511.8531    302.21
 1999/09/01  04:01:31.000   162     5   77516.6724  77516.2613    411.10
 1999/09/01  04:02: 1.000   162     5   77527.0114  77526.4970    514.37
 1999/09/01  04:02:31.000   162     5   77543.1870  77542.5627    624.27
 1999/09/01  04:03: 1.000   162     5   77565.1838  77564.4525    731.30
 1999/09/01  04:03:31.000   162     5   77592.9899  77592.1521    837.84
 1999/09/01  04:04: 1.000   162     5   77626.5858  77625.6388    946.98
 1999/09/01  04:04:31.000   162     5   77665.9351  77664.8819   1053.21
 1999/09/01  04:05: 1.000   162     5   77711.0033  77709.8422   1161.09
 1999/09/01  04:05:31.000   162     5   77761.7406  77760.4726   1267.99
 1999/09/01  04:06: 1.000   162     5   77818.0902  77816.7180   1372.23
 1999/09/01  04:06:31.000   162     5   77879.9939  77878.5154   1478.53
 1999/09/01  04:07: 1.000   162     5   77947.3784  77945.7942   1584.18
 1999/09/01  04:07:31.000   162     5   78020.1610  78018.4765   1684.49
 1999/09/01  04:08: 1.000   162     5   78098.2628  78096.4770   1785.83
 1999/09/01  04:08:31.000   162     5   78181.5910  78179.7033   1887.68
 1999/09/01  04:09: 1.000   162     5   78270.0422  78268.0565   1985.67
 1999/09/01  04:09:31.000   162     5   78363.5109  78361.4310   2079.87
 1999/09/01  04:10: 1.000   162     5   78461.8894  78459.7150   2174.36
 1999/09/01  05:36: 1.000   162     5   76736.2471  76738.0482  -1801.07
 1999/09/01  05:36:31.000   162     5   76654.1239  76655.7552  -1631.29
 1999/09/01  05:37: 1.000   162     5   76578.8077  76580.2689  -1461.17
 1999/09/01  05:37:31.000   162     5   76510.4333  76511.7177  -1284.42
 1999/09/01  05:38: 1.000   162     5   76449.1124  76450.2202  -1107.84
 1999/09/01  05:38:31.000   162     5   76394.9686  76395.8845   -915.91
 1999/09/01  05:39: 1.000   162     5   76348.0665  76348.8078   -741.31
 1999/09/01  05:39:31.000   162     5   76308.5219  76309.0763   -554.37
 1999/09/01  05:40: 1.000   162     5   76276.4056  76276.7645   -358.89
 1999/09/01  05:40:31.000   162     5   76251.7614  76251.9353   -173.93
 1999/09/01  05:41: 1.000   162     5   76234.6589  76234.6397     19.24
 1999/09/01  05:41:31.000   162     5   76225.1367  76224.9161    220.60
 1999/09/01  05:42: 1.000   162     5   76223.2014  76222.7909    410.45
 1999/09/01  05:42:31.000   162     5   76228.8829  76228.2780    604.85
